Country Name,Country Code,Series Name,Series Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Pakistan,PAK,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.46,70.2653503417969,70.3106002807617,70.3615341186523,70.4048767089844,70.4429931640625,70.4782180786133,70.5129013061523,70.5494689941406,70.5905456542969,70.6388626098633,70.6971130371094,70.7680206298828,70.8542785644531,70.958610534668,71.0827713012695,71.224739074707,71.3815460205078,71.5502243041992,70.7900009155273,72.7831039428711,74.1276931762695,75.3796920776367,,
Pakistan,PAK,Account (% age 15+),account.t.d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3062963485718,,,13.0361919403076,,,21.2932453155518,,,,,
Pakistan,PAK,"Account, income, poorest 40% (% ages 15+)",account.t.d.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.80787324905396,,,9.75476741790771,,,14.2158899307251,,,,,
Pakistan,PAK,Additional people below $1.90 as % of total population by impact - Agriculture Revenues,CC.AVPB.PTPI.AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Additional people below $1.90 as % of total population by impact - All impacts,CC.AVPB.PTPI.AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Additional people below $1.90 as % of total population by impact - Disasters,CC.AVPB.PTPI.DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Additional people below $1.90 as % of total population by impact - Food prices,CC.AVPB.PTPI.FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Additional people below $1.90 as % of total population by impact - Health,CC.AVPB.PTPI.HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Additional people below $1.90 as % of total population by impact - Labor productivity,CC.AVPB.PTPI.LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional people below $4 as % of total population by impact, by 2030 - Agriculture",CC.AVPB.TPOP.AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional people below $4 as % of total population by impact, by 2030 - All Impacts",CC.AVPB.TPOP.AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional people below $4 as % of total population by impact, by 2030 - Disasters",CC.AVPB.TPOP.DI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional people below $4 as % of total population by impact, by 2030 - Health",CC.AVPB.TPOP.HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional people below $4 as % of total population by impact, by 2030 - Temperature",CC.AVPB.TPOP.TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional population exposed to annual coastal floods due to sea level rise, as a share of actual population (%) - Max exposure, 2050",CC.ADPO.MIEX.BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional population exposed to annual coastal floods due to sea level rise, as a share of actual population (%) - Max exposure, 2100",CC.ADPO.MAEX.BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional population exposed to annual coastal floods due to sea level rise, as a share of actual population (%) - Min. exposure, 2050",CC.ADPO.MIEX.AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Additional population exposed to annual coastal floods due to sea level rise, as a share of actual population (%) - Min. exposure, 2100",CC.ADPO.MAEX.AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,Agricultural land (% of land area),AG.LND.AGRI.ZS,,46.3496264009963,46.4923204649232,46.5442092154421,47.1603881278539,48.3019406392694,48.5354400166044,48.6067870485679,48.2176214196762,46.3107098381071,46.5247509339975,46.0318078040681,46.0577521793275,47.2187629721876,46.362598588626,46.7452781237028,46.3262764632628,46.5870174346202,47.2408156911582,47.1370381901204,48.5367372353674,47.3536737235367,49.954597343296,47.2304379410544,48.645703611457,48.1501660440017,46.1433686176837,47.5703092569531,45.8527916147779,46.5182648401827,45.6698837691988,45.7529057700291,45.895599833956,46.3755707762557,46.4274595267746,46.733603154836,46.92299709423,47.5677148194271,47.6857617268576,47.6805728518057,47.6053341635533,47.9607721046077,47.8466168534662,47.7921336654213,46.7582503113325,46.6544728102947,46.875,46.7167393109174,45.8086861768369,45.7619863013699,45.7165836446658,46.6168534661685,46.781600249066,47.063096720631,47.0267745952677,46.9619136571191,47.7298671647987,48.0009858862599,47.9361249481112,47.1188771274388,47.6377646326276,,
Pakistan,PAK,Annual CO2 combustion emissions at operating coal mines (Mt CO2),CC.COAL.EMIS.CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Pakistan,PAK,Annual CO2 combustion emissions at proposed coal projects (Mt CO2),CC.COAL.EMPR.CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
Pakistan,PAK,Annual coal production (Mt per year) - Operating,CC.COAL.PROD.OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Pakistan,PAK,Annual coal production (Mt per year) - Proposed Projects (Total),CC.COAL.PROD.PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Pakistan,PAK,"Annual investment needs for coastal protection, by risk strategy (% of GDP) - constant relative flood risk",CC.INCP.KRGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005947293269,,,
Pakistan,PAK,"Annual investment needs for coastal protection, by risk strategy (% of GDP) - low risk tolerance",CC.INCP.ALRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0111829,,,
Pakistan,PAK,"Annual investment needs for coastal protection, by risk strategy (% of GDP) - optimal protection",CC.INCP.SPMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2328715,,,
Pakistan,PAK,Annual investments needed to make transport infrastructure more resilient by 2030 (% of baseline investment costs),CC.TNET.INV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69073947955178,,,
